PiS,KO,Lewica,PSL-Kukiz15,Konfederacja,niez.
-1.0,0.9846153846153847,-1.0,1.0,1.0,1.0
-1.0,1.0,0.9565217391304348,1.0,-1.0,1.0
-1.0,0.9769230769230769,-1.0,1.0,1.0,1.0
-1.0,0.9844961240310077,-0.9777777777777777,1.0,1.0,1.0
-1.0,0.9692307692307692,-1.0,1.0,1.0,1.0
-1.0,0.9761904761904762,0.9565217391304348,1.0,0.0,1.0
-1.0,0.023622047244094488,-1.0,1.0,1.0,0.5
0.9734513274336283,0.015625,-0.02127659574468085,1.0,-0.8,0.0
1.0,-0.984251968503937,-1.0,-0.9642857142857143,-1.0,-1.0
0.9567099567099567,-0.984375,-1.0,-1.0,-1.0,-1.0
-0.991304347826087,1.0,1.0,1.0,0.7777777777777778,1.0
1.0,-0.9769230769230769,-1.0,-1.0,-0.8888888888888888,-1.0
1.0,-1.0,-1.0,-0.9259259259259259,-1.0,-1.0
-1.0,0.984375,1.0,0.7241379310344828,0.6666666666666666,1.0
-1.0,0.9844961240310077,0.9583333333333334,0.8275862068965517,0.0,0.5
-1.0,0.9921875,1.0,1.0,-0.4444444444444444,1.0
-1.0,1.0,1.0,1.0,-0.375,1.0
-1.0,0.984251968503937,1.0,1.0,-0.5,1.0
-0.9913793103448276,0.984375,1.0,0.9666666666666667,-0.125,1.0
0.9869565217391304,-0.9844961240310077,-1.0,-0.8620689655172413,-0.7777777777777778,-1.0
-1.0,1.0,1.0,1.0,1.0,1.0
-1.0,0.9847328244274809,0.9782608695652174,0.9333333333333333,0.8,1.0
1.0,-0.9538461538461539,-1.0,-0.8666666666666667,-0.9090909090909091,0.5
-0.9823008849557522,-0.9699248120300752,-1.0,-0.9333333333333333,0.8181818181818182,-1.0
-1.0,0.8484848484848485,1.0,0.26666666666666666,-1.0,1.0
-1.0,0.9923664122137404,-0.9565217391304348,1.0,-1.0,1.0
-1.0,0.038461538461538464,-1.0,1.0,1.0,0.5
-0.9826839826839827,0.9849624060150376,1.0,1.0,1.0,0.0
-0.9822222222222222,-1.0,0.0,-1.0,0.9090909090909091,-1.0
-0.9782608695652174,-0.007518796992481203,0.0,1.0,1.0,0.5
-0.9695652173913043,0.9924242424242424,1.0,1.0,1.0,1.0
-1.0,1.0,1.0,1.0,-0.9,1.0
-1.0,0.023622047244094488,-1.0,1.0,1.0,-0.5
-0.9913419913419913,-0.9770992366412213,-1.0,-0.5333333333333333,1.0,-1.0
-1.0,0.9921875,-1.0,0.9310344827586207,0.7777777777777778,1.0
-1.0,1.0,0.9130434782608695,1.0,-0.09090909090909091,1.0
-1.0,0.9923076923076923,-1.0,1.0,1.0,1.0
-1.0,0.9847328244274809,1.0,0.9333333333333333,1.0,1.0
-1.0,1.0,1.0,0.9642857142857143,-1.0,0.0
-1.0,0.9772727272727273,-1.0,1.0,0.1111111111111111,1.0
-1.0,0.015384615384615385,-1.0,1.0,1.0,-0.5
-1.0,0.007633587786259542,0.9523809523809523,1.0,0.09090909090909091,0.5
-1.0,0.984251968503937,1.0,1.0,0.09090909090909091,0.0
-1.0,0.9541984732824428,1.0,1.0,-0.1,1.0
-1.0,1.0,1.0,1.0,0.0,1.0
-1.0,0.015625,1.0,1.0,0.0,0.0
-1.0,0.9922480620155039,1.0,1.0,0.0,1.0
0.8761061946902655,-0.9844961240310077,-1.0,-0.8571428571428571,-1.0,-1.0
-1.0,0.9384615384615385,1.0,1.0,0.0,1.0
-0.991304347826087,1.0,1.0,1.0,1.0,0.0
-1.0,1.0,1.0,1.0,0.0,1.0
-1.0,1.0,-0.9111111111111111,1.0,-0.8888888888888888,1.0
-1.0,1.0,1.0,1.0,0.2727272727272727,1.0
-1.0,0.984251968503937,1.0,1.0,0.4,1.0
-1.0,1.0,1.0,1.0,0.1111111111111111,1.0
-1.0,0.9844961240310077,0.0,1.0,0.0,1.0
-1.0,1.0,1.0,1.0,0.3,1.0
-1.0,1.0,1.0,1.0,1.0,0.5
-1.0,1.0,1.0,1.0,1.0,1.0
-1.0,1.0,1.0,1.0,0.0,1.0
-1.0,0.9923076923076923,1.0,1.0,-0.1,1.0
-1.0,0.9772727272727273,-1.0,-0.8,0.0,0.0
-0.9911504424778761,0.022556390977443608,-1.0,0.9333333333333333,1.0,-0.5
-1.0,1.0,1.0,1.0,0.0,1.0
-1.0,1.0,1.0,1.0,0.18181818181818182,1.0
-1.0,1.0,1.0,1.0,0.0,1.0
-1.0,1.0,1.0,1.0,0.0,1.0
-1.0,1.0,1.0,1.0,0.0,1.0
-1.0,1.0,1.0,1.0,0.0,1.0
-1.0,1.0,1.0,1.0,0.36363636363636365,1.0
-0.9868421052631579,1.0,0.25,1.0,0.0,0.5
-1.0,1.0,0.15217391304347827,0.9629629629629629,-0.09090909090909091,0.5
-1.0,1.0,1.0,1.0,0.0,1.0
-1.0,-0.9692307692307692,-0.9148936170212766,-0.7931034482758621,0.5454545454545454,0.0
-1.0,1.0,1.0,0.9285714285714286,-0.7777777777777778,1.0
-0.9823008849557522,0.9689922480620154,-1.0,1.0,1.0,1.0
-1.0,1.0,-0.10638297872340426,1.0,0.8888888888888888,1.0
-1.0,1.0,1.0,1.0,0.9090909090909091,1.0
-0.9911504424778761,0.984,0.02127659574468085,1.0,1.0,0.5
-0.991304347826087,1.0,1.0,1.0,-1.0,1.0
-1.0,1.0,1.0,1.0,-1.0,1.0
-1.0,0.984,1.0,1.0,-1.0,1.0
